season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
1997,6,Derby County,0.0,0.0,Everton,3.0,1.0,0,Mike Riley,Derby County,Everton,007a8ac2-34d2-57d3-9795-7fb6c0e5579d,cbdb0d5a-7db4-5eaf-959f-21282313d0dd,5677f069-df11-5cc7-aa3b-7b1c5579f1cd,Derby County,Everton,Derby County_Everton,Derby County_Everton_1997
1997,26,Everton,0.0,0.0,Derby County,1.0,2.0,0,Steve Dunn,Derby County,Everton,b890725d-cc70-522a-9fc9-c2abe781d00c,cbdb0d5a-7db4-5eaf-959f-21282313d0dd,5677f069-df11-5cc7-aa3b-7b1c5579f1cd,Everton,Derby County,Derby County_Everton,Derby County_Everton_1997
