season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1992,20,Coventry City,0.0,0.0,Liverpool,5.0,1.0,0,Kelvin Morton,0,0,0,0,216,Coventry City,Liverpool,b9122c6b-9c66-5657-ae1c-94a345ef4ed2,56031e89-3821-57fb-a0fc-3134fa1bc5df,Coventry City,Liverpool,Coventry City_Liverpool,Coventry City_Liverpool_1992
1992,40,Liverpool,0.0,0.0,Coventry City,4.0,0.0,0,Tony Ward,0,0,0,0,415,Liverpool,Coventry City,290d7ac9-68f2-5d2b-ac17-e5f551ea5ead,56031e89-3821-57fb-a0fc-3134fa1bc5df,Liverpool,Coventry City,Coventry City_Liverpool,Coventry City_Liverpool_1992
1993,6,Coventry City,0.0,0.0,Liverpool,1.0,0.0,0,Keith Burge,0,0,0,0,523,Coventry City,Liverpool,2598b294-a612-5381-8016-6a4505bf252c,1c34ca1f-c605-5910-b4b0-5778054e5738,Coventry City,Liverpool,Coventry City_Liverpool,Coventry City_Liverpool_1993
1993,31,Liverpool,0.0,0.0,Coventry City,1.0,0.0,0,Alan Wilkie,0,0,0,0,778,Liverpool,Coventry City,a4955b08-c966-562f-bbae-351633afd1c8,1c34ca1f-c605-5910-b4b0-5778054e5738,Liverpool,Coventry City,Coventry City_Liverpool,Coventry City_Liverpool_1993
1994,17,Coventry City,0.0,0.0,Liverpool,1.0,1.0,0,Keith Burge,0,0,0,0,1105,draw,draw,ad6c1818-31f3-5066-82ae-a5000640cf76,de973449-af17-5eeb-99ef-f873299b092d,Coventry City,Liverpool,Coventry City_Liverpool,Coventry City_Liverpool_1994
1994,30,Liverpool,0.0,0.0,Coventry City,2.0,3.0,0,Mike Reed,0,0,0,0,1271,Coventry City,Liverpool,a5ff6a6d-fdb5-53e5-b129-8b19fe195e99,de973449-af17-5eeb-99ef-f873299b092d,Liverpool,Coventry City,Coventry City_Liverpool,Coventry City_Liverpool_1994
1995,9,Liverpool,0.0,0.0,Coventry City,0.0,0.0,0,Paul Danson,0,0,0,0,1470,draw,draw,0dc89a79-cae9-5fd3-88a0-2e7eebe2ab3e,92f4d3be-7099-57be-97e0-23d12fe76c89,Liverpool,Coventry City,Coventry City_Liverpool,Coventry City_Liverpool_1995
1995,34,Coventry City,0.0,0.0,Liverpool,1.0,0.0,0,Peter Jones,0,0,0,0,1710,Coventry City,Liverpool,a24ca119-ed91-5b43-9452-21bcf2494327,92f4d3be-7099-57be-97e0-23d12fe76c89,Coventry City,Liverpool,Coventry City_Liverpool,Coventry City_Liverpool_1995
1996,4,Coventry City,0.0,0.0,Liverpool,0.0,1.0,0,Graham Poll,0,0,0,0,1797,Liverpool,Coventry City,c50f5e63-3ac8-5662-a188-8768804e1e70,4025b247-d724-5b1d-b023-b0ef77fdfd84,Coventry City,Liverpool,Coventry City_Liverpool,Coventry City_Liverpool_1996
1996,33,Liverpool,0.0,0.0,Coventry City,1.0,2.0,0,Paul Danson,0,0,0,0,2084,Coventry City,Liverpool,76c9307b-ba23-52ac-ae89-6e0f94d96dfe,4025b247-d724-5b1d-b023-b0ef77fdfd84,Liverpool,Coventry City,Coventry City_Liverpool,Coventry City_Liverpool_1996
1997,19,Liverpool,0.0,0.0,Coventry City,1.0,0.0,0,Paul Alcock,0,0,0,0,2325,Liverpool,Coventry City,53b195cd-1242-5d71-bd46-980638f70777,35ef54ee-5548-5905-8b92-1ea99e82d369,Liverpool,Coventry City,Coventry City_Liverpool,Coventry City_Liverpool_1997
1997,35,Coventry City,0.0,0.0,Liverpool,1.0,1.0,0,Bill Burns,0,0,0,0,2489,draw,draw,5967b027-0b4f-5d6f-ad97-a46a5e720be2,35ef54ee-5548-5905-8b92-1ea99e82d369,Coventry City,Liverpool,Coventry City_Liverpool,Coventry City_Liverpool_1997
