season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2003,10,Chelsea,0.0,0.0,Manchester City,1.0,0.0,0,Phil Dowd,0,0,0,0,4522,Chelsea,Manchester City,1c5aa54c-b02d-5c06-a54d-8e3b293ecfec,6054ac00-4465-5de4-ad00-0bd1e737457d,Chelsea,Manchester City,Chelsea_Manchester City,Chelsea_Manchester City_2003
2003,27,Manchester City,0.0,0.0,Chelsea,0.0,1.0,0,Rob Styles,0,0,0,0,4685,Chelsea,Manchester City,5dbec467-9423-585e-acbc-a0a72bee7cc5,6054ac00-4465-5de4-ad00-0bd1e737457d,Manchester City,Chelsea,Chelsea_Manchester City,Chelsea_Manchester City_2003
