season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2017,1,Brighton,0.3,1.9,Manchester City,0.0,2.0,2017-08-12,Michael Oliver,The American Express Community Stadium,Sat,17:30,"30,415",7,Manchester City,Brighton,85819653-01f1-55a8-93d0-f17ebaf0f5d8,fdb902e4-b777-5d4b-9204-4a475ff96777,Brighton,Manchester City,Brighton_Manchester City,Brighton_Manchester City_2017
2017,31,Manchester City,1.6,1.2,Brighton,3.0,1.0,2018-05-09,Paul Tierney,Etihad Stadium,Wed,20:00,"54,013",410,Manchester City,Brighton,150dc575-60df-5613-b646-a785e3789e07,fdb902e4-b777-5d4b-9204-4a475ff96777,Manchester City,Brighton,Brighton_Manchester City,Brighton_Manchester City_2017
2018,7,Manchester City,2.7,0.2,Brighton,2.0,0.0,2018-09-29,Lee Mason,Etihad Stadium,Sat,15:00,"54,152",71,Manchester City,Brighton,a5a7a122-66bf-500f-8da0-64658ae24288,bd74562a-b703-5557-9855-43edb9067f0d,Manchester City,Brighton,Brighton_Manchester City,Brighton_Manchester City_2018
2018,38,Brighton,0.5,1.6,Manchester City,1.0,4.0,2019-05-12,Michael Oliver,The American Express Community Stadium,Sun,15:00,"30,662",416,Manchester City,Brighton,d35df278-d2b7-5502-b146-94a98f46ae77,bd74562a-b703-5557-9855-43edb9067f0d,Brighton,Manchester City,Brighton_Manchester City,Brighton_Manchester City_2018
2019,4,Manchester City,1.9,0.9,Brighton,4.0,0.0,2019-08-31,Jonathan Moss,Etihad Stadium,Sat,15:00,"54,386",39,Manchester City,Brighton,f03cf8f8-245c-5b88-84c7-5e713a004898,fec6d55b-d89b-5bbd-a8b1-6e0857ac00b0,Manchester City,Brighton,Brighton_Manchester City,Brighton_Manchester City_2019
2019,35,Brighton,0.2,4.4,Manchester City,0.0,5.0,2020-07-11,Graham Scott,The American Express Community Stadium,Sat,20:00,0,380,Manchester City,Brighton,89887ca5-c5ac-5a19-b68e-d9114154c695,fec6d55b-d89b-5bbd-a8b1-6e0857ac00b0,Brighton,Manchester City,Brighton_Manchester City,Brighton_Manchester City_2019
2020,18,Manchester City,2.0,0.2,Brighton,1.0,0.0,2021-01-13,Darren England,Etihad Stadium,Wed,18:00,0,186,Manchester City,Brighton,69661888-7049-54c3-89e4-f5598913c582,85c0072f-650a-5cf3-9383-915474c7e6cc,Manchester City,Brighton,Brighton_Manchester City,Brighton_Manchester City_2020
2020,37,Brighton,1.1,0.9,Manchester City,3.0,2.0,2021-05-18,Stuart Attwell,The American Express Community Stadium,Tue,19:00,"7,945",421,Brighton,Manchester City,8d170d32-8a8a-5d97-b2c6-df82627ff163,85c0072f-650a-5cf3-9383-915474c7e6cc,Brighton,Manchester City,Brighton_Manchester City,Brighton_Manchester City_2020
2021,9,Brighton,1.3,3.8,Manchester City,1.0,4.0,2021-10-23,Kevin Friend,The American Express Community Stadium,Sat,17:30,"31,215",94,Manchester City,Brighton,478ae903-dea1-5344-b4f4-e266967cfaec,c4d44b7b-6d65-5ab3-a3d9-7298207757f1,Brighton,Manchester City,Brighton_Manchester City,Brighton_Manchester City_2021
2021,30,Manchester City,1.3,0.2,Brighton,3.0,0.0,2022-04-20,Mike Dean,Etihad Stadium,Wed,20:00,"52,226",373,Manchester City,Brighton,e44e10ef-7d52-54f0-9a2c-1a7834cf2b57,c4d44b7b-6d65-5ab3-a3d9-7298207757f1,Manchester City,Brighton,Brighton_Manchester City,Brighton_Manchester City_2021
2022,13,Manchester City,1.6,0.5,Brighton,3.0,1.0,2022-10-22,Craig Pawson,Etihad Stadium,Sat,15:00,"53,223",119,Manchester City,Brighton,c847bef1-6cfd-5a72-9069-336bdef3470a,bad0e34b-9337-5dea-a586-e8c2830f2a1b,Manchester City,Brighton,Brighton_Manchester City,Brighton_Manchester City_2022
2022,32,Brighton,2.2,1.8,Manchester City,1.0,1.0,2023-05-24,Simon Hooper,The American Express Community Stadium,Wed,20:00,"31,388",417,draw,draw,fc9a866f-d167-5d98-8b1a-fd5fc305437a,bad0e34b-9337-5dea-a586-e8c2830f2a1b,Brighton,Manchester City,Brighton_Manchester City,Brighton_Manchester City_2022
