season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1993,5,Sheffield Utd,0.0,0.0,Ipswich Town,1.0,1.0,0,Peter Foakes,0,0,0,0,512,draw,draw,594a4c5a-1c5d-5aac-90b3-8da9064a327f,7f648ecd-c64a-5687-b87f-7d685b07ed61,Sheffield Utd,Ipswich Town,Ipswich Town_Sheffield Utd,Ipswich Town_Sheffield Utd_1993
1993,30,Ipswich Town,0.0,0.0,Sheffield Utd,3.0,2.0,0,Keith Burge,0,0,0,0,774,Ipswich Town,Sheffield Utd,038fff29-e9b5-560e-8527-0b650bf642a9,7f648ecd-c64a-5687-b87f-7d685b07ed61,Ipswich Town,Sheffield Utd,Ipswich Town_Sheffield Utd,Ipswich Town_Sheffield Utd_1993
