season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2004,16,Portsmouth,0.0,0.0,West Brom,3.0,2.0,0,Peter Walton,0,0,0,0,4957,Portsmouth,West Brom,6d9ed422-2fcb-5533-8c45-b1beaceede3e,4108e947-59d2-5102-a7cf-3c02fff8bb1b,Portsmouth,West Brom,Portsmouth_West Brom,Portsmouth_West Brom_2004
2004,38,West Brom,0.0,0.0,Portsmouth,2.0,0.0,0,Mike Riley,0,0,0,0,5185,West Brom,Portsmouth,df8f0dcc-333c-5239-ad70-5c03e6cb318b,4108e947-59d2-5102-a7cf-3c02fff8bb1b,West Brom,Portsmouth,Portsmouth_West Brom,Portsmouth_West Brom_2004
2005,2,West Brom,0.0,0.0,Portsmouth,2.0,1.0,0,Mike Riley,0,0,0,0,5200,West Brom,Portsmouth,c01275ee-9f1b-5bbc-9148-e1c9db42f9a1,dfe545f0-735a-540e-bc64-b5679189544a,West Brom,Portsmouth,Portsmouth_West Brom,Portsmouth_West Brom_2005
2005,17,Portsmouth,0.0,0.0,West Brom,1.0,0.0,0,Mark Halsey,0,0,0,0,5350,Portsmouth,West Brom,9c6a6011-4a5f-500a-92af-04acca0ad264,dfe545f0-735a-540e-bc64-b5679189544a,Portsmouth,West Brom,Portsmouth_West Brom,Portsmouth_West Brom_2005
2008,16,West Brom,0.0,0.0,Portsmouth,1.0,1.0,0,Mike Dean,0,0,0,0,6483,draw,draw,ebad396f-27c0-57bb-bef5-10d655d296de,a056e3c3-724a-52d8-9637-7a7acd439e45,West Brom,Portsmouth,Portsmouth_West Brom,Portsmouth_West Brom_2008
2008,32,Portsmouth,0.0,0.0,West Brom,2.0,2.0,0,Mike Dean,0,0,0,0,6640,draw,draw,8cad7b69-a31c-522b-b69b-50921cc924c9,a056e3c3-724a-52d8-9637-7a7acd439e45,Portsmouth,West Brom,Portsmouth_West Brom,Portsmouth_West Brom_2008
