season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
2019,2,Aston Villa,2.0,1.6,Bournemouth,1.0,2.0,2019-08-17,Martin Atkinson,Villa Park,Sat,15:00,"40,996",13,Bournemouth,Aston Villa,8a6ff262-158b-5afc-9413-0252fa5f023d,ca01bcbe-48fe-5209-b93d-762fb0bf4b27,Aston Villa,Bournemouth,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019
2019,25,Bournemouth,2.2,1.7,Aston Villa,2.0,1.0,2020-02-01,Anthony Taylor,Vitality Stadium,Sat,15:00,"10,722",270,Bournemouth,Aston Villa,c1fbfd13-65e9-5885-a86b-fa8d749051d7,ca01bcbe-48fe-5209-b93d-762fb0bf4b27,Bournemouth,Aston Villa,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2019
2022,1,Bournemouth,0.6,0.7,Aston Villa,2.0,0.0,2022-08-06,Peter Bankes,Vitality Stadium,Sat,15:00,"11,013",5,Bournemouth,Aston Villa,76f6ae8b-9415-515b-9411-643f42c1808a,47ee968a-8a17-52bd-a5b7-97694f471379,Bournemouth,Aston Villa,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2022
2022,28,Aston Villa,3.5,1.3,Bournemouth,3.0,0.0,2023-03-18,Robert Jones,Villa Park,Sat,15:00,"41,021",299,Aston Villa,Bournemouth,53a6f363-3bde-559f-8b4c-aa401da0a26c,47ee968a-8a17-52bd-a5b7-97694f471379,Aston Villa,Bournemouth,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2022
2015,1,Bournemouth,0.0,0.0,Aston Villa,0.0,1.0,0,Mark Clattenburg,0,0,0,0,8990,Aston Villa,Bournemouth,d89be83f-f712-5b1b-907d-35d3a01382e8,81300658-415e-5c62-9458-5e66daa5aafc,Bournemouth,Aston Villa,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2015
2015,33,Aston Villa,0.0,0.0,Bournemouth,1.0,2.0,0,Martin Atkinson,0,0,0,0,9303,Bournemouth,Aston Villa,71627eeb-0b3c-57c4-8b66-699ba541fa69,81300658-415e-5c62-9458-5e66daa5aafc,Aston Villa,Bournemouth,Aston Villa_Bournemouth,Aston Villa_Bournemouth_2015
