season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1992,19,Leeds United,0.0,0.0,Sheffield Weds,3.0,1.0,0,Jim Borrett,0,0,0,0,206,Leeds United,Sheffield Weds,cce08de2-709d-5957-ad54-71bc99073e14,77776da9-de59-5fe3-a2d4-fbcc4c8e660d,Leeds United,Sheffield Weds,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1992
1992,37,Sheffield Weds,0.0,0.0,Leeds United,1.0,1.0,0,Roger Milford,0,0,0,0,444,draw,draw,0345fa03-cf0a-5c02-bc22-182cebc89b63,77776da9-de59-5fe3-a2d4-fbcc4c8e660d,Sheffield Weds,Leeds United,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1992
1993,13,Sheffield Weds,0.0,0.0,Leeds United,3.0,3.0,0,Paul Durkin,0,0,0,0,602,draw,draw,4478ea10-9c55-5951-bdc7-53f58be32b08,628e327e-cfd3-527f-a532-dde89d82b19d,Sheffield Weds,Leeds United,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1993
1993,29,Leeds United,0.0,0.0,Sheffield Weds,2.0,2.0,0,Alan Gunn,0,0,0,0,907,draw,draw,0c261826-f1f5-5b32-ae47-25baecc4ecc7,628e327e-cfd3-527f-a532-dde89d82b19d,Leeds United,Sheffield Weds,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1993
1994,7,Sheffield Weds,0.0,0.0,Leeds United,1.0,1.0,0,Alan Wilkie,0,0,0,0,999,draw,draw,59728148-bc91-5888-a62c-a6320e6d8961,1bf0672a-c572-58df-a607-5516a4865a62,Sheffield Weds,Leeds United,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1994
1994,32,Leeds United,0.0,0.0,Sheffield Weds,0.0,1.0,0,Keith Cooper,0,0,0,0,1252,Sheffield Weds,Leeds United,ee162817-d048-5d91-b33c-63e28275cbb7,1bf0672a-c572-58df-a607-5516a4865a62,Leeds United,Sheffield Weds,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1994
1995,8,Leeds United,0.0,0.0,Sheffield Weds,2.0,0.0,0,Graham Poll,0,0,0,0,1460,Leeds United,Sheffield Weds,48434f97-be88-542f-82a4-407502778bd0,e5f3e046-678d-53f7-9f6f-08ec8f6967ae,Leeds United,Sheffield Weds,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1995
1995,18,Sheffield Weds,0.0,0.0,Leeds United,6.0,2.0,0,Robbie Hart,0,0,0,0,1558,Sheffield Weds,Leeds United,c3b8c23b-bb29-54d3-9e8c-c950f5789dd2,e5f3e046-678d-53f7-9f6f-08ec8f6967ae,Sheffield Weds,Leeds United,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1995
1996,2,Leeds United,0.0,0.0,Sheffield Weds,0.0,2.0,0,Jeff Winter,0,0,0,0,1777,Sheffield Weds,Leeds United,93f53284-9fee-5cfc-8f52-4eb6b1ec9f7a,88654513-d45a-5e00-aac8-4ff8ff755c5d,Leeds United,Sheffield Weds,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1996
1996,32,Sheffield Weds,0.0,0.0,Leeds United,2.0,2.0,0,Paul Danson,0,0,0,0,2067,draw,draw,1f205f7c-d2ed-5543-bc73-eae14ea00788,88654513-d45a-5e00-aac8-4ff8ff755c5d,Sheffield Weds,Leeds United,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1996
1997,2,Sheffield Weds,0.0,0.0,Leeds United,1.0,3.0,0,Paul Durkin,0,0,0,0,2162,Leeds United,Sheffield Weds,486abe8c-34b5-53b7-8c46-9e78c6f6daa2,8b8ee3a2-2613-5994-85ec-35e5a8ba8624,Sheffield Weds,Leeds United,Leeds United_Sheffield Weds,Leeds United_Sheffield Weds_1997
