season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,venue,dayofweek,start_time,attendance,Unnamed: 0,winning_team,losing_team,match_id,season_merge_key,team,opponent,match_teams,season_match_teams
1998,13,Charlton Ath,0.0,0.0,Middlesbrough,1.0,1.0,0,Mike Riley,0,0,0,0,2644,draw,draw,aa3f2674-0830-5e9e-899d-72045fe8ecb6,c1a364f1-7fbc-5d94-a9f1-355034b6d3da,Charlton Ath,Middlesbrough,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_1998
1998,33,Middlesbrough,0.0,0.0,Charlton Ath,2.0,0.0,0,Uriah Rennie,0,0,0,0,2841,Middlesbrough,Charlton Ath,bb9f4f38-a869-58f8-8536-c59042a527f4,c1a364f1-7fbc-5d94-a9f1-355034b6d3da,Middlesbrough,Charlton Ath,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_1998
2000,10,Charlton Ath,0.0,0.0,Middlesbrough,1.0,0.0,0,Mike Riley,0,0,0,0,3381,Charlton Ath,Middlesbrough,9ef5a0ef-aaea-5465-8a8f-aedf760234dc,16d9baae-239d-5e36-8ccd-2a6787d85513,Charlton Ath,Middlesbrough,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2000
2000,29,Middlesbrough,0.0,0.0,Charlton Ath,0.0,0.0,0,Mike Dean,0,0,0,0,3563,draw,draw,52521c38-de22-515a-a117-65f688cec0f3,16d9baae-239d-5e36-8ccd-2a6787d85513,Middlesbrough,Charlton Ath,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2000
2001,9,Charlton Ath,0.0,0.0,Middlesbrough,0.0,0.0,0,David Elleray,0,0,0,0,3742,draw,draw,2eb3c167-5eaa-50b1-be59-487d973be87a,13b3391d-bb9e-5cfc-bbf4-485c0bea262a,Charlton Ath,Middlesbrough,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2001
2001,25,Middlesbrough,0.0,0.0,Charlton Ath,0.0,0.0,0,Mike Riley,0,0,0,0,3915,draw,draw,f19eb224-b4f8-5a67-9181-add23ecf3d61,13b3391d-bb9e-5cfc-bbf4-485c0bea262a,Middlesbrough,Charlton Ath,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2001
2002,10,Charlton Ath,0.0,0.0,Middlesbrough,1.0,0.0,0,Neale Barry,0,0,0,0,4142,Charlton Ath,Middlesbrough,7979cd30-4a53-5cf5-871d-b4e8eb97ed47,49523ef0-adf2-50cd-bc64-35b5c06a33de,Charlton Ath,Middlesbrough,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2002
2002,31,Middlesbrough,0.0,0.0,Charlton Ath,1.0,1.0,0,Mike Dean,0,0,0,0,4351,draw,draw,110a2a7b-a2d3-5f15-8028-f4dba564fd8d,49523ef0-adf2-50cd-bc64-35b5c06a33de,Middlesbrough,Charlton Ath,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2002
2003,16,Middlesbrough,0.0,0.0,Charlton Ath,0.0,0.0,0,Howard Webb,0,0,0,0,4580,draw,draw,8ea685c0-ddc9-5d47-aee0-c0a9ac0188f4,afc685c8-5648-5b28-b33b-6a98cf93733f,Middlesbrough,Charlton Ath,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2003
2003,28,Charlton Ath,0.0,0.0,Middlesbrough,1.0,0.0,0,Mike Dean,0,0,0,0,4700,Charlton Ath,Middlesbrough,fa0254cd-c0a6-5c33-854e-874c53fc754d,afc685c8-5648-5b28-b33b-6a98cf93733f,Charlton Ath,Middlesbrough,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2003
2004,11,Charlton Ath,0.0,0.0,Middlesbrough,1.0,2.0,0,Mark Halsey,0,0,0,0,4906,Middlesbrough,Charlton Ath,3fb38d53-7664-5872-81aa-1a6d45d38f44,3b663d9e-a7e8-5ee5-9fb9-b44b12832ecb,Charlton Ath,Middlesbrough,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2004
2004,28,Middlesbrough,0.0,0.0,Charlton Ath,2.0,2.0,0,Mike Dean,0,0,0,0,5079,draw,draw,fe329301-5517-5ec5-b35c-f03d6f9cefec,3b663d9e-a7e8-5ee5-9fb9-b44b12832ecb,Middlesbrough,Charlton Ath,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2004
2005,4,Middlesbrough,0.0,0.0,Charlton Ath,0.0,3.0,0,Mike Dean,0,0,0,0,5221,Charlton Ath,Middlesbrough,cd56ecae-6082-5f85-bc14-fb394016b13c,c76016e8-879e-5b41-a2e5-a3ea4a984c48,Middlesbrough,Charlton Ath,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2005
2005,29,Charlton Ath,0.0,0.0,Middlesbrough,2.0,1.0,0,Alan Wiley,0,0,0,0,5470,Charlton Ath,Middlesbrough,6f7685e9-925d-58f8-bb6e-04eb9139622f,c76016e8-879e-5b41-a2e5-a3ea4a984c48,Charlton Ath,Middlesbrough,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2005
2006,19,Middlesbrough,0.0,0.0,Charlton Ath,2.0,0.0,0,Rob Styles,0,0,0,0,5751,Middlesbrough,Charlton Ath,abb4dba1-235c-59fd-8d41-a731cd2c7eaa,9f0662c8-6ca4-53e6-843c-1a263effcd02,Middlesbrough,Charlton Ath,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2006
2006,23,Charlton Ath,0.0,0.0,Middlesbrough,1.0,3.0,0,Mike Dean,0,0,0,0,5787,Middlesbrough,Charlton Ath,556af3f6-5540-59ac-ad25-c792a32ece9d,9f0662c8-6ca4-53e6-843c-1a263effcd02,Charlton Ath,Middlesbrough,Charlton Ath_Middlesbrough,Charlton Ath_Middlesbrough_2006
