season,gameweek,home_team,home_xg,away_xg,away_team,home_score,away_score,date,referee,winning_team,losing_team,match_id,matchup_merge_key,season_merge_key,team,opponent,match_teams,season_match_teams
2008,7,Portsmouth,0.0,0.0,Stoke City,2.0,1.0,0,Andre Marriner,Portsmouth,Stoke City,b4d7ab6e-d37e-53e4-90b7-34ae3570c1f3,60b554b2-695a-5b03-bd2e-bef18f43c5ae,296618de-2ea3-5c42-9977-88e9830cef1d,Portsmouth,Stoke City,Portsmouth_Stoke City,Portsmouth_Stoke City_2008
2008,26,Stoke City,0.0,0.0,Portsmouth,2.0,2.0,0,Mike Jones,draw,draw,44de2535-11cb-5d6a-adea-e6deab36ae23,60b554b2-695a-5b03-bd2e-bef18f43c5ae,296618de-2ea3-5c42-9977-88e9830cef1d,Stoke City,Portsmouth,Portsmouth_Stoke City,Portsmouth_Stoke City_2008
